def	fit	ion	x0	tag	sumFormula	x_Lo	x_Hi	d2_Ctr	d2_Lo	d2_Hi	d1_Ctr	d1_Lo	d1_Hi	d0_Ctr	d0_Lo	d0_Hi	calFac	calUnit	charge	ionizFrac	fragOf	isotopeOf	comments	standards	families	baseline	intCalIn
1	0	(NH4)C8H18O4	196.154883		C8H22NO4	196.1400	196.1697		0.00										0								
1	0	<unknown1506>	196.180000			196.1651	196.1949																				
1	1	<unknown1510>	197.039898			197.0249	197.0549																				
1	1	C9H9O5+	197.044450		C9H9O5	197.0295	197.0595		0.00																		
1	1	(NH3)(NH4)C5H6O6+	197.076813		C5H13N2O6	197.0619	197.0918		0.00																		
1	1	C11H17O3+	197.117221		C11H17O3	197.1023	197.1322		0.00																		
1	1	C12H21O2+	197.153606		C12H21O2	197.1386	197.1686		0.00																		
1	1	<unknown1525>	198.044283			198.0292	198.0593																				
1	1	(NH4)C5H8O7+	198.060828		C5H12NO7	198.0457	198.0758		0.00																		
1	1	(NH4)C9H8O4+	198.076084		C9H12NO4	198.0610	198.0911		0.00																		
1	1	(NH4)C10H12O3+	198.112470		C10H16NO3	198.0974	198.1275		0.00																		
1	1	(NH4)C11H16O2+	198.148855		C11H20NO2	198.1338	198.1639		0.00																		
1	1	C9H11O5+	199.060100		C9H11O5	199.0450	199.0752		0.00																		
1	1	<unknown1526>	199.071006			199.0559	199.0861																				
1	1	(NH3)(NH4)C5H8O6+	199.092463		C5H15N2O6	199.0774	199.1076		0.00																		
1	1	(NH3)(NH4)C6H12O5+	199.128848		C6H19N2O5	199.1137	199.1440		0.00																		
1	1	(NH3)(NH4)C10H12O2+	199.144104		C10H19N2O2	199.1290	199.1592		0.00																		
1	1	(NH4)C8H6O5+	200.055349		C8H10NO5	200.0401	200.0705		0.00																		
1	1	(NH4)C9H10O4+	200.091734		C9H14NO4	200.0766	200.1069		0.00																		
1	1	(NH4)C10H14O3+	200.128120		C10H18NO3	200.1130	200.1433		0.00																		
1	1	(NH4)C11H18O2+	200.164505		C11H22NO2	200.1494	200.1797		0.00																		
1	1	C8H9O6+	201.039364		C8H9O6	201.0239	201.0547		0.00										1								
1	1	C5H13O8+	201.060494		C5H13O8	201.0453	201.0757		0.00																		
1	1	C9H13O5+	201.075750		C9H13O5	201.0603	201.0911		0.00										1								
1	1	(NH3)(NH4)C5H10O6+	201.108113		C5H17N2O6	201.0928	201.1233		0.00																		
1	1	C10H17O4+	201.112135		C10H17O4	201.0967	201.1276		0.00										1								
1	1	(NH4)C8H8O5	202.071547		C8H12NO5	202.0562	202.0868		0.00										0								
1	1	(NH4)C9H12O4	202.107933		C9H16NO4	202.0927	202.1232		0.00										0								
1	1	(NH4)C10H16O3	202.144318		C10H20NO3	202.1291	202.1596		0.00										0								
1	1	(NH4)C11H20O2	202.180704		C11H24NO2	202.1654	202.1959		0.00										0								
1	1	C8H11O6+	203.055014		C8H11O6	203.0394	203.0706		0.00										1								
1	1	C12H11O3+	203.070271		C12H11O3	203.0549	203.0857		0.00																		
1	1	C9H15O5+	203.091400		C9H15O5	203.0758	203.1070		0.00										1								
1	1	(NH3)(NH4)C9H12O3+	203.139019		C9H19N2O3	203.1235	203.1546		0.00										1								
1	0	<unknown1069>	203.226126			203.2105	203.2417																				
1	1	(NH4)C7H6O6	204.050812		C7H10NO6	204.0354	204.0662		0.00										0								
1	1	(NH4)C8H10O5	204.087198		C8H14NO5	204.0718	204.1025		0.00										0								
1	1	(NH4)C9H14O4	204.123583		C9H18NO4	204.1082	204.1390		0.00										0								
1	1	(NH4)C10H18O3	204.159969		C10H22NO3	204.1446	204.1754		0.00										0								
1	1	<unknown1527>	205.045314			205.0298	205.0608																				
1	1	<unknown1528>	205.074470			205.0590	205.0900																				
1	1	<unknown1529>	205.098473			205.0830	205.1140																				
1	1	<unknown1530>	205.122948			205.1075	205.1384																				
1	1	<unknown1531>	205.158423			205.1429	205.1739																				
1	1	(NH4)C7H8O6	206.066462		C7H12NO6	206.0509	206.0820		0.00										0								
1	1	(NH4)C8H12O5+	206.102299		C8H16NO5	206.0868	206.1178		0.00										0								
1	1	(NH4)C9H16O4+	206.138685		C9H20NO4	206.1232	206.1543		0.00										0								
1	0	(NH4)C10H20O3	206.175619		C10H24NO3	206.1601	206.1911		0.00										0								
1	1	C7H11O7+	207.049929		C7H11O7	207.0341	207.0658		0.00										1								
1	1	C11H11O4+	207.065185		C11H11O4	207.0493	207.0810		0.00										1								
1	0	C8H15O6+	207.086315		C8H15O6	207.0705	207.1021		0.00										1								
1	1	(NH3)(NH4)C7H8O5+	207.097548		C7H15N2O5	207.0817	207.1134		0.00										1								
1	1	C13H19O2+	207.137956		C13H19O2	207.1223	207.1536		0.00																		
1	1	(NH4)C6H6O7	208.045727		C6H10NO7	208.0301	208.0614		0.00										0								
1	1	(NH4)C10H6O4	208.060983		C10H10NO4	208.0453	208.0767		0.00										0								
1	1	(NH4)C7H10O6	208.082112		C7H14NO6	208.0665	208.0978		0.00										0								
1	1	(NH4)C8H14O5	208.118498		C8H18NO5	208.1028	208.1341		0.00										0								
1	0	(NH4)C9H18O4	208.154883		C9H22NO4	208.1393	208.1706		0.00										0								
1	1	<unknown1532>	209.044196			209.0284	209.0599																				
1	1	(NH3)(NH4)C6H6O6	209.077361		C6H13N2O6	209.0616	209.0931		0.00										0								
1	1	(NH3)(NH4)C7H10O5	209.113747		C7H17N2O5	209.0981	209.1295		0.00										0								
1	1	C13H21O2+	209.153606		C13H21O2	209.1379	209.1694		0.00																		
1	1	<unknown1533>	210.041153			210.0253	210.0570																				
1	1	<unknown1534>	210.071846			210.0560	210.0877																				
1	1	<unknown1535>	210.113281			210.0975	210.1291																				
1	1	<unknown1536>	210.154990			210.1392	210.1708																				
1	0	<unknown1537>	210.251219			210.2354	210.2670																				
1	1	C6H11O8+	211.044844		C6H11O8	211.0290	211.0607		0.00																		
1	1	C10H11O5+	211.060100		C10H11O5	211.0442	211.0760		0.00																		
1	1	(NH3)(NH4)C6H8O6+	211.092463		C6H15N2O6	211.0765	211.1083		0.00																		
1	1	C12H19O3+	211.132871		C12H19O3	211.1170	211.1488		0.00																		
1	0	<unknown1539>	211.173697			211.1578	211.1896																				
1	0	<unknown1538>	211.195590			211.1797	211.2114																				
1	1	<unknown1540>	212.051989			212.0361	212.0679																				
1	1	<unknown1541>	212.090444			212.0745	212.1064																				
1	1	<unknown1542>	212.130708			212.1148	212.1466																				
1	1	<unknown1543>	212.162805			212.1469	212.1787																				
1	1	<unknown1544>	212.200195			212.1843	212.2161																				
1	1	<unknown1545>	213.044670			213.0287	213.0607																				
1	1	(NH3)(NH4)C5H6O7+	213.071727		C5H13N2O7	213.0557	213.0877		0.00																		
1	1	(NH3)(NH4)C6H10O6+	213.108113		C6H17N2O6	213.0921	213.1241		0.00																		
1	1	C12H21O3+	213.148521		C12H21O3	213.1325	213.1645		0.00																		
1	0	<unknown1549>	213.189995			213.1740	213.2060																				
1	1	<unknown1550>	214.063493			214.0474	214.0796																				
1	1	<unknown1551>	214.105917			214.0899	214.1220																				
1	1	<unknown1552>	214.142643			214.1266	214.1587																				
1	1	<unknown1553>	214.178172			214.1621	214.1942																				
1	0	<unknown1555>	215.049000			215.0329	215.0651																				
1	1	C9H11O6+	215.055014		C9H11O6	215.0389	215.0711		0.00																		
1	1	C6H15O8+	215.076144		C6H15O8	215.0597	215.0925		0.00																		
1	1	C10H15O5+	215.091400		C10H15O5	215.0750	215.1078		0.00										1								
1	1	(NH3)(NH4)C6H12O6+	215.123763		C6H19N2O6	215.1077	215.1399		0.00																		
1	1	<unknown1554>	215.153922			215.1378	215.1700																				
1	0	<unknown1098>	215.180043			215.1636	215.1964																				
1	1	C9H12O6	216.063388		C9H12O6	216.0471	216.0795		0.00										0								
1	1	(NH4)C9H10O5	216.087198		C9H14NO5	216.0710	216.1034		0.00										0								
